adsh	cik	name	sic	countryba	stprba	cityba	zipba	bas1	bas2	baph	countryma	stprma	cityma	zipma	mas1	mas2	countryinc	stprinc	ein	former	changed	afs	wksi	fye	form	period	fy	fp	filed	accepted	prevrpt	detail	instance	nciks	aciks	pubfloatusd	floatdate	floataxis	floatmems
0001104659-24-000824	1392380	GEVO, INC.	2860	US	CO	ENGLEWOOD	80112	345 INVERNESS DRIVE SOUTH, BUILDING C	Suite 310	303-858-8358	US	CO	ENGLEWOOD	80112	345 INVERNESS DRIVE SOUTH, BUILDING C	Suite 310	US	DE	870747704	GEVO INC	20070307	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:13:00.0	0	0	tm2333985d1_8k_htm.xml	1					
0001104659-24-000845	913277	CLARUS CORP	3949	US	UT	SALT LAKE CITY	84124	2084 EAST 3900 SOUTH		801-278-5552	US	UT	SALT LAKE CITY	84124	2084 EAST 3900 SOUTH		US	DE	581972600	BLACK DIAMOND, INC.	20110121	2-ACC	0	1231	8-K	20231231			20240103	2024-01-03 16:23:00.0	0	0	tm241587d1_8k_htm.xml	1					
0001104659-24-000848	857005	PTC INC.	7372	US	MA	BOSTON	02210	121 SEAPORT BOULEVARD		7813705000	US	MA	BOSTON	02210	121 SEAPORT BOULEVARD		US	MA	042866152	PARAMETRIC TECHNOLOGY CORP	19920703	1-LAF	0	0930	DEF 14A	20240131			20240103	2024-01-03 16:25:00.0	0	0	tm2322323-3_def14a_htm.xml	1					
0001104659-24-000860	1583771	HEPION PHARMACEUTICALS, INC.	2834	US	NJ	EDISON	08837	399 THORNALL STREET	FIRST FLOOR	732-902-4000	US	NJ	EDISON	08837	399 THORNALL STREET	FIRST FLOOR	US	DE	462783806	CONTRAVIR PHARMACEUTICALS, INC.	20130806	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:30:00.0	0	0	tm241750d1_8k_htm.xml	1					
0001104659-24-000861	1561032	HEALTHCARE TRUST, INC.	6798	US	RI	NEWPORT	02840	222 BELLEVUE AVENUE		212-415-6500	US	RI	NEWPORT	02840	222 BELLEVUE AVENUE		US	MD	383888962	AMERICAN REALTY CAPITAL HEALTHCARE TRUST II, INC.	20121025	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:30:00.0	0	0	tm241846-1_8k_htm.xml	1					
0001104659-24-000864	1134115	INTERNATIONAL TOWER HILL MINES LTD	1000	CA	BC	VANCOUVER	V6C 1S4	200 GRANVILLE STREET	SUITE 2710	604-683-6332	CA	BC	VANCOUVER	V6C 1S4	200 GRANVILLE STREET	SUITE 2710	CA	BC	000000000			4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:30:00.0	0	0	tm241767d1_8k_htm.xml	1					
0001104659-24-000868	1292519	INVIVO THERAPEUTICS HOLDINGS CORP.	3841	US	MA	CAMBRIDGE	02139	ONE KENDALL SQUARE	BUILDING 1400 EAST 4TH FLOOR	617-863-5524	US	MA	CAMBRIDGE	02139	ONE KENDALL SQUARE	BUILDING 1400 EAST 4TH FLOOR	US	NV	000000000	DESIGN SOURCE, INC.	20040602	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:31:00.0	0	0	tm241751d1_8k_htm.xml	1					
0001104659-24-000897	1747009	EQUITRANS MIDSTREAM CORP	4922	US	PA	CANONSBURG	15317	2200 ENERGY DRIVE		724-271-7600	US	PA	CANONSBURG	15317	2200 ENERGY DRIVE		US	PA	830516635	EQT MIDSTREAM SPINCO, INC.	20180717	1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 16:46:00.0	0	0	tm241831d1_8k_htm.xml	1					
0001104659-24-000906	1798270	ASSURE HOLDINGS CORP.	3841	US	CO	GREENWOOD VILLAGE	80111	7887 EAST BELLEVIEW AVENUE	SUITE 500	720-287-3093	US	CO	GREENWOOD VILLAGE	80111	7887 EAST BELLEVIEW AVENUE	SUITE 500	US	NV	822726719			4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:51:00.0	0	0	tm2333964d1_8k_htm.xml	1					
0001104659-24-000910	1798270	ASSURE HOLDINGS CORP.	3841	US	CO	GREENWOOD VILLAGE	80111	7887 EAST BELLEVIEW AVENUE	SUITE 500	720-287-3093	US	CO	GREENWOOD VILLAGE	80111	7887 EAST BELLEVIEW AVENUE	SUITE 500	US	NV	822726719			4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:52:00.0	0	0	tm2333964d2_8k_htm.xml	1					
0001104659-24-000958	1390478	SELLAS LIFE SCIENCES GROUP, INC.	2834	US	NY	NEW YORK	10036	7 TIMES SQUARE	SUITE 2503	6462005278	US	NY	NEW YORK	10036	7 TIMES SQUARE	SUITE 2503	US	DE	000000000	GALENA BIOPHARMA, INC.	20110926	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 17:26:00.0	0	0	tm241849d1_8k_htm.xml	1					
0001111335-24-000003	1111335	VISTEON CORP	3714	US	MI	VAN BUREN TOWNSHIP	48111	ONE VILLAGE CENTER DRIVE		800-847-8366	US	MI	VAN BUREN TOWNSHIP	48111	ONE VILLAGE CENTER DRIVE		US	DE	383519512			1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 08:07:00.0	0	0	vc-20240102_htm.xml	1					
0001120970-24-000002	1120970	COMSTOCK INC.	2860	US	NV	VIRGINIA CITY,	89440	117 AMERICAN FLAT ROAD	PO BOX 1118	775-847-5272	US	NV	VIRGINIA CITY,	89440	117 AMERICAN FLAT ROAD	PO BOX 1118	US	NV	650955118	COMSTOCK MINING INC.	20100720	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 17:22:00.0	0	0	lode-20240103_htm.xml	1					
0001140361-24-000247	879101	KIMCO REALTY CORP	6798	US	NY	JERICHO	11753	500 NORTH BROADWAY	SUITE 201, P.O. BOX 9010	(516) 869-9000	US	NY	JERICHO	11753	500 NORTH BROADWAY	SUITE 201	US	MD	132744380			1-LAF	0	1231	8-K	20231231			20240103	2024-01-02 18:42:00.0	0	0	ny20017682x2_8k_htm.xml	2	1959472				
0001140361-24-000248	842183	RPT REALTY	6798	US	NY	NEW YORK	10036	19 W 44TH STREET	SUITE 1002	2122211261	US	NY	NEW YORK	10036	19 W 44TH STREET	SUITE 1002	US	MD	136908486	RAMCO GERSHENSON PROPERTIES TRUST	19960515	1-LAF	0	1231	8-K	20231231			20240103	2024-01-02 18:44:00.0	0	0	ny20017825x1_8k_htm.xml	1					
0001140361-24-000342	1051514	STRATA SKIN SCIENCES, INC.	3841	US	PA	HORSHAM	19044	5 WALNUT GROVE DRIVE	SUITE 140	215-619-3200	US	PA	HORSHAM	19044	5 WALNUT GROVE DRIVE	SUITE 140	US	DE	133986004	MELA SCIENCES, INC. /NY	20100504	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 08:30:00.0	0	0	ef20017885_8k_htm.xml	1					
0001140361-24-000387	800457	DONEGAL GROUP INC	6331	US	PA	MARIETTA	17547-0302	1195 RIVER RD PO BOX 302		7174261931	US	PA	MARIETTA	17547	1195 RIVER ROAD	BOX 302	US	DE	232424711			2-ACC	0	1231	8-K	20231231			20240103	2024-01-03 15:01:00.0	0	0	ef20017966_8k_htm.xml	1					
0001140361-24-000442	785956	J&J SNACK FOODS CORP	2052	US	NJ	MOUNT LAUREL	08054	350 FELLOWSHIP ROAD	SUITE 100	6096659533	US	NJ	MOUNT LAUREL	08054	350 FELLOWSHIP ROAD	SUITE 100	US	NJ	221935537			1-LAF	0	0930	DEF 14A	20240131			20240103	2024-01-03 16:16:00.0	0	0	ny20014763x1_def14a_htm.xml	1					
0001140361-24-000447	10048	BARNWELL INDUSTRIES INC	1311	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 500	808-531-8400	US	HI	HONOLULU	96813	1100 ALAKEA ST.	SUITE 500	US	DE	720496921	BMA CORP/TN	19770324	4-NON	0	0930	8-K	20231231			20240103	2024-01-03 16:21:00.0	0	0	ef20017965_8k_htm.xml	1					
0001140361-24-000451	1847577	LEARN CW INVESTMENT CORP	6770	US	CA	LOS ANGELES	90025	11755 WILSHIRE BLVD.	SUITE 2320	4243242990	US	CA	LOS ANGELES	90025	11755 WILSHIRE BLVD.	SUITE 2320	KY		000000000			4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:26:00.0	0	0	ef20017927_8k_htm.xml	1					
0001140361-24-000483	1417663	SANUWAVE HEALTH, INC.	3841	US	GA	SUWANEE	30024	3360 MARTIN FARM RD	SUITE 100	770-419-7525	US	GA	SUWANEE	30024	3360 MARTIN FARM RD	SUITE 100	US	NV	201176000	RUB MUSIC ENTERPRISES, INC.	20071106	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 17:17:00.0	0	0	ef20017967_8k_htm.xml	1					
0001157523-24-000004	1084765	RESOURCES CONNECTION, INC.	7389	US	CA	IRVINE	92614	17101 ARMSTRONG AVENUE		7144306400	US	CA	IRVINE	92614	17101 ARMSTRONG AVENUE		US	DE	330832424	RESOURCES CONNECTION INC	20000824	2-ACC	0	0531	8-K	20231231			20240103	2024-01-03 16:06:00.0	0	0	a53876721_htm.xml	1					
0001169561-24-000002	1169561	COMMVAULT SYSTEMS INC	7372	US	NJ	TINTON FALLS	07724	1 COMMVAULT WAY		732-870-4000	US	NJ	TINTON FALLS	07724	1 COMMVAULT WAY		US	DE	000000000			1-LAF	0	0331	8-K	20231231			20240103	2024-01-03 16:13:00.0	0	0	cvlt-20231231_htm.xml	1					
0001171843-24-000018	866787	AUTOZONE INC	5531	US	TN	MEMPHIS	38103	123 SOUTH FRONT ST		9014956500	US	TN	MEMPHIS	38101-2198	P O BOX 2198	DEPT 8074	US	NV	621482048			1-LAF	0	0831	8-K	20231231			20240103	2024-01-02 18:00:00.0	0	0	f8k_010224_htm.xml	1					
0001171843-24-000035	1504619	PENNANTPARK FLOATING RATE CAPITAL LTD.		US	NY	NEW YORK	10022	590 MADISON AVENUE	15TH FLOOR	(212) 905-1000	US	NY	NEW YORK	10022	590 MADISON AVENUE	15TH FLOOR			273794690	PENNANTPARK SENIOR FLOATING RATE FUND INC.	20101029	2-ACC	0	0930	8-K	20231231			20240103	2024-01-03 16:05:00.0	0	0	f8k_010324_htm.xml	1					
0001171843-24-000036	1383414	PENNANTPARK INVESTMENT CORP		US	NY	NEW YORK	10022	590 MADISON AVENUE	15TH FLOOR	212-905-1000	US	NY	NEW YORK	10022	590 MADISON AVENUE	15TH FLOOR			208250744	PENNANT INVESTMENT CORP	20061229	2-ACC	0	0930	8-K	20231231			20240103	2024-01-03 16:06:00.0	0	0	f8k_010324_htm.xml	1					
0001178913-24-000035	1638097	ENTERA BIO LTD.	2836	IL		JERUSALEM	9112002	KIRYAT HADASSAH, MINRAV BUILDING	FIFTH FLOOR	972-2-532-7151	IL		JERUSALEM	9112002	KIRYAT HADASSAH, MINRAV BUILDING	FIFTH FLOOR	IL		000000000			4-NON	0	1231	8-K	20231231			20240103	2024-01-03 08:00:00.0	0	0	zk2430720_htm.xml	1					
0001185185-24-000016	31667	EDUCATIONAL DEVELOPMENT CORP	5190	US	OK	TULSA	74146	5402 SOUTH 122ND EAST AVE		918-622-4522	US	OK	TULSA	74146	5402 SOUTH 122ND EAST AVE		US	DE	730750007	TUTOR TAPES INTERNATIONAL CORP	19701030	4-NON	0	0229	8-K	20231231			20240103	2024-01-03 16:05:00.0	0	0	edc20240103_8k_htm.xml	1					
0001185185-24-000018	312257	INNOVATIVE FOOD HOLDINGS INC	5141	US	FL	BONITA SPRINGS	34135	28411 RACE TRACK ROAD		239-596-0204	US	FL	BONITA SPRINGS	34135	28411 RACE TRACK ROAD		US	FL	201167761	ALPHA SOLARCO INC	19920703	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:24:00.0	0	0	innovfood20240103_8k_htm.xml	1					
0001193125-24-000801	800240	ODP CORP	5940	US	FL	BOCA RATON	33496	6600 NORTH MILITARY TRAIL		561-438-4800	US	FL	BOCA RATON	33496	6600 NORTH MILITARY TRAIL		US	DE	851457062	OFFICE DEPOT INC	19920703	1-LAF	0	1231	8-K	20231231			20240103	2024-01-02 17:47:00.0	0	0	d683464d8k_htm.xml	1					
0001193125-24-000827	1629210	PARAMOUNT GOLD NEVADA CORP.	1000	US	NV	WINNEMUCCA	89445	665 ANDERSON STREET		(775) 625-3600	US	NV	WINNEMUCCA	89445	665 ANDERSON STREET		US	NV	980138393			4-NON	0	0630	8-K	20231231			20240103	2024-01-02 19:08:00.0	0	0	d692619d8k_htm.xml	1					
0001193125-24-000976	1420800	ENOVIS CORP	3842	US	DE	WILMINGTON	19808	2711 CENTERVILLE ROAD	SUITE 400	(302) 252-9160	US	DE	WILMINGTON	19808	2711 CENTERVILLE ROAD	SUITE 400	US	DE	541887631	COLFAX CORP	20071210	1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 06:16:00.0	0	0	d697122d8k_htm.xml	1					
0001193125-24-000991	1818794	DYNE THERAPEUTICS, INC.	2834	US	MA	WALTHAM	02451	1560 TRAPELO ROAD		(781) 786-8230	US	MA	WALTHAM	02451	1560 TRAPELO ROAD		US	DE	364883909			4-NON	0	1231	8-K	20231231			20240103	2024-01-03 06:38:00.0	0	0	d586587d8k_htm.xml	1					
0001193125-24-001013	1832038	INVIVYD, INC.	2836	US	MA	WALTHAM	02451	1601 TRAPELO ROAD	SUITE 178	(781) 819-0080	US	MA	WALTHAM	02451	1601 TRAPELO ROAD	SUITE 178	US	DE	851403134	ADAGIO THERAPEUTICS, INC.	20201112	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 07:07:00.0	0	0	d277393d8k_htm.xml	1					
0001193125-24-001014	1772695	SUNNOVA ENERGY INTERNATIONAL INC.	4931	US	TX	HOUSTON	77046	20 EAST GREENWAY PLAZA, SUITE 540		(281) 985-9900	US	TX	HOUSTON	77046	20 EAST GREENWAY PLAZA, SUITE 540		US	DE	000000000			1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 07:11:00.0	0	0	d700139d8k_htm.xml	1					
0001193125-24-001023	55135	KELLY SERVICES INC	7363	US	MI	TROY	48084	999 W BIG BEAVER RD		2483624444	US	MI	TROY	48084	999 WEST BIG BEAVER RD		US	DE	381510762			1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 07:42:00.0	1	0	d680614d8k_htm.xml	1					
0001193125-24-001028	1597672	RAYONIER ADVANCED MATERIALS INC.	2611	US	FL	JACKSONVILLE	32207	1301 RIVERPLACE BOULEVARD	SUITE 2300	(904) 357-4600	US	FL	JACKSONVILLE	32207	1301 RIVERPLACE BOULEVARD	SUITE 2300	US	DE	464559529	RAYONIER HOLDING CO	20140121	2-ACC	0	1231	8-K	20231231			20240103	2024-01-03 07:49:00.0	0	0	d596153d8k_htm.xml	1					
0001193125-24-001030	1289308	ENERSYS	3690	US	PA	READING	19605	2366 BERNVILLE ROAD		(610) 208-1600	US	PA	READING	19605	2366 BERNVILLE ROAD		US	DE	233058564			1-LAF	0	0331	8-K	20231231			20240103	2024-01-03 07:51:00.0	0	0	d651586d8k_htm.xml	1					
0001193125-24-001433	1864290	PIONEER MUNICIPAL HIGH INCOME OPPORTUNITIES FUND, INC.		US	MA	BOSTON	02109	60 STATE STREET	5TH FLOOR	617-742-7825	US	MA	BOSTON	02109	60 STATE STREET	5TH FLOOR	US	MD	000000000				0	0430	N-CSRS	20231031			20240103	2024-01-03 15:14:00.0	0	0	d672853dncsrs_htm.xml	1					
0001193125-24-001435	1223026	PIONEER MUNICIPAL HIGH INCOME FUND, INC.		US	MA	BOSTON	02109	60 STATE STREET	5TH FLOOR	617-742-7825	US	MA	BOSTON	02109	60 STATE STREET	5TH FLOOR	US	MD	030512430	PIONEER MUNICIPAL HIGH INCOME TRUST	20030314		0	0430	N-CSRS	20231031			20240103	2024-01-03 15:14:00.0	0	0	d656656dncsrs_htm.xml	1					
0001193125-24-001438	1388126	PIONEER DIVERSIFIED HIGH INCOME FUND, INC.		US	MA	BOSTON	02109	60 STATE STREET		617-742-7825	US	MA	BOSTON	02109	60 STATE STREET		US	MD	000000000	PIONEER DIVERSIFIED HIGH INCOME TRUST	20070130		0	0430	N-CSRS	20231031			20240103	2024-01-03 15:16:00.0	0	0	d693191dncsrs_htm.xml	1					
0001193125-24-001474	1616037	PIONEER ILS INTERVAL FUND		US	MA	BOSTON	02109	60 STATE STREET	5TH FLOOR	(617) 742-7825	US	MA	BOSTON	02109	60 STATE STREET	5TH FLOOR	US	DE	000000000				0	1031	N-CSR	20231031			20240103	2024-01-03 15:59:00.0	0	0	d945843dncsr_htm.xml	1					
0001193125-24-001477	851205	COGNEX CORP	3823	US	MA	NATICK	01760	ONE VISION DR		5086503000	US	MA	NATICK	01760	ONE VISION DRIVE		US	MA	042713778			1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 16:01:00.0	0	0	d623696d8k_htm.xml	1					
0001193125-24-001480	1459417	2U, INC.	7372	US	MD	LANHAM	20706	7900 HARKINS ROAD		(301) 892-4350	US	MD	LANHAM	20706	7900 HARKINS ROAD		US	DE	262335939	2TOR, INC.	20090324	1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 16:02:00.0	0	0	d681431d8k_htm.xml	1					
0001193125-24-001482	1662774	QUINCE THERAPEUTICS, INC.	2836	US	CA	SOUTH SAN FRANCISCO	94080	611 GATEWAY BLVD., SUITE 273		415-910-5717	US	CA	SOUTH SAN FRANCISCO	94080	611 GATEWAY BLVD., SUITE 273		US	CA	901024039	CORTEXYME, INC.	20160104	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:02:00.0	1	0	d641060d8k_htm.xml	1					
0001193125-24-001488	1455684	TPI COMPOSITES, INC	3510	US	AZ	SCOTTSDALE	85253	8501 N SCOTTSDALE ROAD	GAINEY CENTER II, SUITE 100	480-305-8910	US	AZ	SCOTTSDALE	85253	8501 N SCOTTSDALE ROAD	GAINEY CENTER II, SUITE 100			201590775	TPI COMPOSITES INC	20090206	2-ACC	0	1231	8-K	20231231			20240103	2024-01-03 16:06:00.0	0	0	d107410d8k_htm.xml	1					
0001193125-24-001494	1494904	GLOBAL INDEMNITY GROUP, LLC	6331	US	PA	BALA CYNWYD	19004	3 BALA PLAZA EAST	SUITE 300	610-664-1500	US	PA	BALA CYNWYD	19004	3 BALA PLAZA EAST	SUITE 300	US	DE	981304287	GLOBAL INDEMNITY LTD	20161107	2-ACC	0	1231	8-K	20231231			20240103	2024-01-03 16:09:00.0	0	0	d675903d8k_htm.xml	1					
0001193125-24-001498	1857410	INVESTCORP EUROPE ACQUISITION CORP I	6770	KY		GEORGE TOWN	KY1-1102	C/O PAGET-BROWN TRUST COMPANY LTD.	CENTURY YARD, CRICKET SQ., P.O. BOX 1111	1 345 949 5122	KY		GEORGE TOWN	KY1-1102	C/O PAGET-BROWN TRUST COMPANY LTD.	CENTURY YARD, CRICKET SQ., P.O. BOX 1111			000000000	INVESTCORP ASIA ACQUISITION CORP I	20210416	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:11:00.0	0	0	d700944d8k_htm.xml	1					
0001193125-24-001499	90498	SIMMONS FIRST NATIONAL CORP	6021	US	AR	PINE BLUFF	71601	501 MAIN STREET		8705411000	US	AR	PINE BLUFF	71601	501 MAIN STREET		US	AR	710407808			1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 16:11:00.0	0	0	d659387d8k_htm.xml	1					
0001193125-24-001519	1661998	HOMOLOGY MEDICINES, INC.	2834	US	MA	BEDFORD	01730	ONE PATRIOTS PARK		781-301-7277	US	MA	BEDFORD	01730	ONE PATRIOTS PARK		US	DE	473468154			4-NON	0	1231	8-K	20231231			20240103	2024-01-03 16:26:00.0	0	0	d648217d8k_htm.xml	1					
0001193125-24-001529	1276520	GENWORTH FINANCIAL INC	6311	US	VA	RICHMOND	23230	6620 WEST BROAD STREET		804-281-6000	US	VA	RICHMOND	23230	6620 WEST BROAD STREET		US	DE	800873306			1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 16:31:00.0	0	0	d840819d8k_htm.xml	1					
0001193125-24-001531	1655050	BAIN CAPITAL SPECIALTY FINANCE, INC.		US	MA	BOSTON	02116	C/O BAIN CAPITAL CREDIT, LP	200 CLARENDON STREET	(617) 516-2318	US	MA	BOSTON	02116	C/O BAIN CAPITAL CREDIT, LP	200 CLARENDON STREET	US	DE	000000000	SANKATY CAPITAL CORP	20151007	1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 16:31:00.0	0	0	d700892d8k_htm.xml	1					
0001193125-24-001533	788784	PUBLIC SERVICE ENTERPRISE GROUP INC	4931	US	NJ	NEWARK	07102-4194	CORPORATE ACCOUNTING SERVICES	80 PARK PLAZA, 9TH FLOOR	973-430-7000	US	NJ	NEWARK	07102-4194	CORPORATE ACCOUNTING SERVICES	80 PARK PLAZA, 9TH FLOOR	US	NJ	222625848			1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 16:31:00.0	0	0	d656577d8k_htm.xml	2	81033				
0001193125-24-001561	898174	REINSURANCE GROUP OF AMERICA INC	6311	US	MO	CHESTERFIELD	63017	16600 SWINGLEY RIDGE ROAD		6367367000	US	MO	CHESTERFIELD	63017	16600 SWINGLEY RIDGE ROAD		US	MO	431627032			1-LAF	0	1231	8-K	20231231			20240103	2024-01-03 17:01:00.0	0	0	d660003d8k_htm.xml	1					
0001193125-24-001568	1834645	PEAK BIO, INC.	2836	US	CA	PLEASANTON	94588	4900 HOPYARD ROAD, SUITE 100		(925) 463-4800	US	CA	PLEASANTON	94588	4900 HOPYARD ROAD, SUITE 100		US	DE	852448157	IGNYTE ACQUISITION CORP.	20201202	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 17:08:00.0	0	0	d857162d8k_htm.xml	1					
0001193125-24-001570	1843973	FLYEXCLUSIVE INC.	4522	US	NY	NEW YORK	10152	375 PARK AVENUE, 24TH FLOOR		212 888 1040	US	NY	NEW YORK	10152	375 PARK AVENUE, 24TH FLOOR		US	DE	861740840	EG ACQUISITION CORP.	20210202	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 17:11:00.0	0	0	d557329d8k_htm.xml	1					
0001193125-24-001574	1789029	AEVA TECHNOLOGIES, INC.	3714	US	CA	MOUNTAIN VIEW	94043	555 ELLIS STREET		6504817070	US	CA	MOUNTAIN VIEW	94043	555 ELLIS STREET		US	DE	843080757	INTERPRIVATE ACQUISITION CORP.	20190920	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 17:18:00.0	0	0	d691092d8k_htm.xml	1					
0001199835-24-000005	1884072	ADAMAS ONE CORP.	3910	US	AZ	SCOTTSDALE	85255	17767 N. PERIMETER DR.	SUITE B115	(480) 356-8798	US	AZ	SCOTTSDALE	85255	17767 N. PERIMETER DR.	SUITE B115	US	NV	831833607			4-NON	0	0930	8-K	20231231			20240103	2024-01-02 18:16:00.0	0	0	form8-k_htm.xml	1					
0001206774-24-000008	1090009	SOUTHERN FIRST BANCSHARES INC	6021	US	SC	GREENVILLE	29607	6 VERDAE BOULEVARD		8646799000	US	SC	GREENVILLE	29607	6 VERDAE BOULEVARD		US	SC	582459561	GREENVILLE FIRST BANCSHARES INC	19990707	2-ACC	0	1231	8-K	20231231			20240103	2024-01-03 16:19:00.0	0	0	sfst4282901-8k_htm.xml	1					
0001213900-24-000418	1702318	AKSO HEALTH GROUP	7389	CN		QINGDAO PILOT FREE TRADE ZONE	0000	RM 8201-4-4(A) 2ND FLOOR QIANTONGYUA BLD	NO. 44 MOSCOW RD QIANWAN BONDED PORT ARE	86 152 1005 4919	CN		QINGDAO PILOT FREE TRADE ZONE	0000	RM 8201-4-4(A) 2ND FLOOR QIANTONGYUA BLD	NO. 44 MOSCOW RD QIANWAN BONDED PORT ARE	KY		000000000	XIAOBAI MAIMAI INC.	20201221	4-NON	0	0331	6-K	20230930	2024	Q2	20240103	2024-01-03 06:19:00.0	0	1	ea189757-6k_aksohealth_htm.xml	1					
0001213900-24-000429	1720286	INTERNET SCIENCES INC.	4899	US	NY	NEW YORK	10175	521 FIFTH AVE, 17TH FLOOR		212-586-4141	US	NY	NEW YORK	10175	521 FIFTH AVE, 17TH FLOOR		US	DE	812775456	LUXURY TRINE DIGITAL MEDIA GROUP INC.	20171020	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 07:08:00.0	0	0	ea191045-8k_internetsci_htm.xml	1					
0001213900-24-000433	1800637	AGRIFY CORP	0700	US	MA	BILLERICA	01862	76 TREBLE COVE ROAD	BUILDING 3	617-896-5243	US	MA	BILLERICA	01862	76 TREBLE COVE ROAD	BUILDING 3	US	NV	300943453			4-NON	0	1231	10-Q	20230930	2023	Q3	20240103	2024-01-03 07:31:00.0	0	1	f10q0923_agrify_htm.xml	1					
0001213900-24-000436	1844389	ACE GLOBAL BUSINESS ACQUISITION LTD	6770	CN		HONG KONG	00000	6/F UNIT B, CENTRAL 88	88-98 DES VOEUX ROAD CENTRAL	85290867042	CN		HONG KONG	00000	6/F UNIT B, CENTRAL 88	88-98 DES VOEUX ROAD CENTRAL			000000000			4-NON	0	1231	8-K	20231231			20240103	2024-01-03 08:00:00.0	0	0	ea191044-8k_aceglobal_htm.xml	1					
0001213900-24-000437	1749849	ORGANIC AGRICULTURAL CO LTD	0100	CN		HARBIN, HEILONGJIANG PROVINCE	150090	ROOM 6504 BUILDING 3, KEJICHUANGXINCHENG	CHUANGXINCHUANGYE PLAZA	86 0451 51527001	CN		HARBIN, HEILONGJIANG PROVINCE	150090	ROOM 6504 BUILDING 3, KEJICHUANGXINCHENG	CHUANGXINCHUANGYE PLAZA	US	NV	825442097			4-NON	0	0331	8-K	20231231			20240103	2024-01-03 08:00:00.0	0	0	ea191053-8k_organicagri_htm.xml	1					
0001213900-24-000441	1009891	AIR INDUSTRIES GROUP	3728	US	NY	BAY SHORE	11706	1460 FIFTH AVENUE		631-881-4920	US	NY	BAY SHORE	11706	1460 FIFTH AVENUE		US	NV	204458244	AIR INDUSTRIES GROUP, INC.	20070702	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 08:45:00.0	0	0	ea191014-8k_airindust_htm.xml	1					
0001213900-24-000452	1213660	BIMI INTERNATIONAL MEDICAL INC.	5122	US	NY	NEW YORK	NEW YORK	725 5TH AVENUE, 15TH FLOOR, 15-01		212-542-0028	US	NY	NEW YORK	NEW YORK	725 5TH AVENUE, 15TH FLOOR, 15-01		US	DE	020563302	BOQI INTERNATIONAL MEDICAL, INC.	20191216	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 09:12:00.0	0	0	ea191041-8k_bimiinter_htm.xml	1					
0001213900-24-000500	1832483	SERVE ROBOTICS INC. /DE/	3790	US	CA	REDWOOD CITY	94063	730 BROADWAY		818-860-1352	US	CA	REDWOOD CITY	94063	730 BROADWAY		US	DE	853844872	PATRICIA ACQUISITION CORP.	20201116	4-NON	0	1231	8-K	20231231			20240103	2024-01-03 12:15:00.0	0	0	ea190928-8k_serverobo_htm.xml	1					
0001213900-24-000546	1881462	SPREE ACQUISITION CORP. 1 LTD	7389	US	GA	ATLANTA	30324	1922 WILDWOOD PL NE		1-470-223-0227	US	GA	ATLANTA	30324	1922 WILDWOOD PL NE		KY		000000000			4-NON	0	1231	8-K	20231231			20240103	2024-01-03 13:40:00.0	0	0	ea191064-8k_spreeacq1_htm.xml	1					
0001213900-24-000608	1907223	REDWOODS ACQUISITION CORP.	2836	US	NY	NEW YORK	10010	1115 BROADWAY	12TH FLOOR	646-916-5315	US	NY	NEW YORK	10010	1115 BROADWAY	12TH FLOOR			862727441			4-NON	0	1231	S-4/A	20230930			20240103	2024-01-03 14:34:00.0	1	1	fs42023a4_redwoodsacq_htm.xml	1					
